"","Full Data","Css","Cu","Vus","Cu+Cs"
"Stainless Steel 304",0.010810189188641,0.0217788821939119,0.144868716772989,0.022815906516528,0.0376020182665579
"Uranium",0.0743280405753732,0.117416423548275,0.0782928634322663,0.101421501815588,0.0973156780599347
