"","d1","v1","d2","v2","d3","v3","d4","v4","d5","v5","r0","a","b","r1","r2","w"
"17",0.8098644368559,0.16121107496834,0.7543815467345,0.15492325980271,0.6660678471912,0.15361252453234,0.5470447313714,0.15557484316513,0.4003209989157,0.15244750820788,1.758173781491,8.643059571305,0.177203836661,4.503416450993,1.277723780749,0.365762755188
"18",0.7826265656087,0.15980343560507,0.7254877391028,0.15357470166933,0.6316653254836,0.15247034975002,0.5041516284786,0.15154306305319,0.3526180824061,0.14534544024883,1.768258820943,8.904021584068,0.177232062,4.718354019508,1.236251908631,0.398372185979
"19",0.7916193939332,0.15658959117486,0.7357420245382,0.15026228114795,0.6466332864582,0.14945382078921,0.5229750359438,0.15249796834238,0.3722837270444,0.14807735437984,1.921914759536,8.723937777038,0.183374800539,4.502531972578,1.348218312075,0.3711669828
"20",0.8268366876388,0.16141143879173,0.7713417155352,0.15664567376504,0.6846779402585,0.15572799746961,0.5677812978181,0.15897754656971,0.4230214910892,0.15707344043128,1.758497775489,8.762885894796,0.183131973984,4.46604627734,1.314728765479,0.394470570207
"21",0.8329692275891,0.16188257021913,0.7787751559039,0.15637685083463,0.6959356854098,0.15501915566977,0.5837600113917,0.15965944189111,0.4430902079812,0.15669260470645,1.752662806696,8.789168567739,0.176376217969,4.381680113698,1.349556773111,0.379303998344
"22",0.7905444966055,0.15860418736743,0.7320595118557,0.15248889092795,0.6378905276393,0.15031075810793,0.5083594446935,0.15228882540016,0.3527806814105,0.14633062082843,1.90939827097,8.383121028328,0.176031284858,4.542895102814,1.243343927911,0.379447800791
"23",0.7734991260371,0.15704244508463,0.7154415568414,0.151137706802,0.6183305093797,0.14876208253241,0.4849959931401,0.15000947368325,0.3276373997003,0.14420420765075,1.893140822937,8.461021948246,0.185406223709,4.672366613008,1.249017032957,0.377200838898
"24",0.7874863804722,0.15786041300382,0.7306606338186,0.15171914071367,0.6387661980727,0.15074456994855,0.5122022597894,0.15129776264206,0.3598072218898,0.14638165077771,1.856822576189,8.389442597493,0.177304954868,4.549845759617,1.279474038628,0.383469838004
"25",0.8245770939657,0.16112672160636,0.7687151461268,0.15596144404315,0.6802612331296,0.15515673186371,0.5588756793746,0.15773969591522,0.4088982791778,0.15647733788096,1.913904122113,8.69692125977,0.178605583601,4.38974191223,1.293048142315,0.386368323301
"26",0.839467360264,0.16338937464327,0.7828879907542,0.1574329377017,0.6948445262336,0.15672577976604,0.5752738719406,0.15884059419059,0.426520368349,0.15939443226191,1.852765590554,8.530861380728,0.186092639031,4.370998658556,1.30112479474,0.39344557117
"27",0.7287790238321,0.14908466885198,0.6726242365541,0.14250144726651,0.5790527784196,0.14082140574022,0.4487745910637,0.14299425958403,0.296662563937,0.13778160256711,1.869205403036,8.13641250657,0.173943336966,4.701993086675,1.35680357945,0.376314521148
"28",0.7321295689095,0.15088441905482,0.6743108676836,0.14425758106396,0.5781749733988,0.14190953634531,0.4453412538373,0.14407790139083,0.2909390934411,0.13811415612295,1.843671607928,8.126220218684,0.186728226223,4.775895636311,1.343573768097,0.3846344478
