"","d1","v1","d2","v2","d3","v3","d4","v4","d5","v5","r0","a","b","r1","r2","w"
"156",0.8004012558163,0.15865263981668,0.7438001318976,0.15268445226998,0.6531181730946,0.15122446800811,0.5275368026528,0.15415549844165,0.3751796527754,0.15150672228594,1.878787505059,8.80935406982,0.187611204132,4.566983493444,1.336189674032,0.388349283271
"157",0.8472982204278,0.16644262691405,0.7899540673191,0.16039022605311,0.7013475907052,0.15903895091454,0.5819397057568,0.16129019829898,0.4343412757931,0.15826849861772,1.755476122478,8.765262189627,0.177505253269,4.452989559128,1.240266438829,0.371927277138
"158",0.8006914561315,0.15842023150872,0.7450686639871,0.15237291013155,0.6581653809182,0.15079688822042,0.539396100084,0.15347051031183,0.3937194963326,0.15146692487149,1.754565845226,8.448731786709,0.178553985466,4.508371509837,1.359620899188,0.372205927789
"159",0.7541835469567,0.15349812617491,0.6975623071073,0.14788108369949,0.6034543547645,0.14464566786004,0.4742517869008,0.14622518615158,0.3218662531061,0.1399317810232,1.809981626478,8.476305062846,0.178240965637,4.738014782209,1.341508477756,0.392811289244
"160",0.8224051214105,0.16235595855038,0.7650271984347,0.1563208088784,0.6762978979425,0.15527823891651,0.555842212818,0.15703166921004,0.4082442970638,0.15454764084721,1.758173781491,8.643059571305,0.177203836661,4.503416450993,1.277723780749,0.365762755188
"161",0.7913936895031,0.15895994667608,0.7332084469888,0.15273269633904,0.6395363726764,0.15085271930703,0.5114519429835,0.15296220907059,0.3575629262339,0.14860939484204,1.833534009452,8.231487216032,0.177429180203,4.562508801483,1.266290082038,0.361632708054
"162",0.8395258036033,0.16361243640448,0.7822986810591,0.15764067488639,0.6933314314897,0.15634604434473,0.5706532054485,0.15916930362118,0.4190227739398,0.15786526873079,1.877796122392,8.204714215646,0.176083512612,4.332124497762,1.273201201987,0.371095865821
"163",0.7962408450517,0.1570495912505,0.7397036393014,0.15162257997302,0.6504690752782,0.15033083425681,0.5269275165575,0.15315878872902,0.376101935019,0.15090838306681,1.868128368227,8.226827516779,0.175769160425,4.463039625787,1.357920547809,0.39692911518
"164",0.8195515766417,0.1605907294317,0.7634834130365,0.1549975869521,0.6750848921612,0.15348992969709,0.5532838896542,0.15617678822573,0.40342163175,0.15491589498562,1.864825342414,8.507121759155,0.179852722932,4.425181301106,1.31952699297,0.366265206658
"165",0.7872125955669,0.15816275061782,0.7303319742657,0.15244868508659,0.6369952058239,0.15100536105621,0.5096985213405,0.1524603996992,0.356928779042,0.14817408465153,1.807075896972,8.426688849912,0.183084297492,4.623615555895,1.298907352783,0.383088654575
"166",0.7964986232623,0.15915685866698,0.7393098919372,0.15317376604052,0.6461224716186,0.15133657509966,0.5184952104314,0.15389854631283,0.3645635997747,0.15007390300706,1.856822576189,8.389442597493,0.177304954868,4.549845759617,1.279474038628,0.383469838004
"167",0.8452736125266,0.16394858282263,0.7887333803269,0.1582529909259,0.699981736631,0.15763148777431,0.5777464581456,0.16024494352754,0.4269725499906,0.15840434969062,1.90038533619,8.609206681051,0.177747134729,4.355329720119,1.277140728737,0.37750017241
"168",0.7528431802161,0.15236214152191,0.6956833059376,0.14650629053558,0.5990005216752,0.14426462588948,0.4644869079187,0.14588327918906,0.3075120471029,0.13961961394625,1.91512601901,8.546765369412,0.184183773989,4.735732818271,1.321877364896,0.37561758052
"169",0.7885144804049,0.15816880916745,0.7307533370583,0.15155223171084,0.6372310231202,0.14935130710217,0.5087806769496,0.15225182150238,0.3543305687825,0.14765978893479,1.880164341544,8.571388851569,0.181182602668,4.598536614496,1.307174997961,0.390465304429
"170",0.8485832105957,0.1643165894598,0.7916523562878,0.15893256578296,0.7031043750055,0.15772430524109,0.5821805249715,0.16006626148552,0.4323365687605,0.15862592151917,1.852765590554,8.530861380728,0.186092639031,4.370998658556,1.30112479474,0.39344557117
"171",0.7914147566013,0.15736226870531,0.7347709720066,0.15122892111757,0.6426693920653,0.14925695082719,0.5152915854905,0.15267218044639,0.3616229512973,0.1489118934516,1.904047152716,8.888263914168,0.186486646639,4.605362469213,1.337860910528,0.39314107302
"172",0.8215741922574,0.16154538614205,0.7651295260645,0.15580392667082,0.676019298279,0.15414681727536,0.5536861039641,0.15673122664898,0.4031848527973,0.15511111918711,1.856950942191,8.759233549804,0.180019942468,4.477334735137,1.30913860876,0.395081527492
"173",0.7800074738623,0.15608959876367,0.7239418510116,0.15055642846705,0.6320894795873,0.14896245575434,0.5062794838811,0.15101062666539,0.3547494167831,0.14687574698813,1.819377905849,8.523332633711,0.186971462383,4.629021008359,1.348633439414,0.378902012492
"174",0.838949081705,0.16392907321136,0.7816373823548,0.15817208184224,0.6946214182221,0.15647106127467,0.576971214978,0.15920462282774,0.4307844570669,0.15679428601371,1.762496335416,8.175496171509,0.172630157685,4.358085751572,1.299306739123,0.39548689925
"175",0.7637654107349,0.15596437464581,0.7051367239471,0.15044893187576,0.6073551181094,0.14688965222787,0.4732078262679,0.14809978515353,0.3164234876581,0.14116129494456,1.820185146503,8.367420361615,0.188177956596,4.770953082999,1.291902593425,0.39136048599
"176",0.7998640588759,0.15791796659451,0.7431541180336,0.1524411668,0.6543272720519,0.15111437430775,0.5314806311845,0.15355351241598,0.3815219245465,0.15166085764064,1.846753565479,8.224030893659,0.175959126652,4.455501088414,1.339040319607,0.373642601245
"177",0.7954991457575,0.15901099268037,0.7377262107053,0.15324036618675,0.6442644889127,0.15142977728364,0.5165032924645,0.15369548608325,0.3624282878063,0.14978342071421,1.840785749645,8.229953145705,0.18516971994,4.552474509822,1.288845597548,0.363415694379
"178",0.8299365230386,0.162629487012,0.7728801992307,0.15711719665355,0.6826355519563,0.15564654588291,0.5583356547892,0.15807793973625,0.4058037585402,0.15669005927005,1.900256479651,8.675513370242,0.177571870161,4.430528254756,1.267640126902,0.376036813243
"179",0.8109105030709,0.15852326232274,0.7556928674503,0.15357130132196,0.6678955926269,0.15231221693558,0.5465411795857,0.15493823465382,0.397327048125,0.15353879916615,1.876028937456,8.743807012653,0.177624066252,4.460637122495,1.333748252367,0.363159992577
"180",0.791993340031,0.16017271697379,0.733422555427,0.1533204940871,0.6379730939481,0.15112420805997,0.5082524249014,0.15318787836205,0.3530259851419,0.14811103573899,1.835013834862,8.494029432778,0.183667500687,4.634711006395,1.265633735148,0.377117058162
